,red,farred,ratio_Neuron,Neuron,l_distance,X,Y,normx,normy,fish_Neuron
19,98.757,87.405,0.9914214634983273,19,16.088741874680732,192.5,75.5,45.5,-57.5,27_11_2024/fish3p1_19
20,101.8,88.438,0.9813146928350585,20,32.634629792770774,152.0,111.0,5.0,-22.0,27_11_2024/fish3p1_20
10,147.909,100.667,0.8908233976595378,10,14.90840035673585,153.985,192.712,-18.014999999999986,42.71199999999999,27_11_2024/fish3p2_10
19,91.176,88.206,0.8636229314420799,19,40.69280751684942,179.5,106.0,7.5,-44.0,27_11_2024/fish3p2_19
16,106.235,91.706,0.8598531902879729,16,3.49390190319973,145.0,179.5,-2.0,46.5,27_11_2024/fish3p1_16
18,100.484,91.29,0.8475404355987548,18,10.200969472280603,200.5,75.5,45.5,-36.0,27_11_2024/fish5p1_18
22,103.476,91.81,0.8450648135242229,22,18.62809925849861,156.5,182.0,-15.5,32.0,27_11_2024/fish3p2_22
26,119.905,97.286,0.8319095111323028,26,0.99325344455271,148.5,181.5,0.3329999999999984,36.667,26_11_2024/fish4_plane2_26
21,97.918,90.721,0.8263433123925171,21,39.97209916824698,116.5,155.5,-31.667,10.667000000000002,26_11_2024/fish4_plane2_21
8,166.622,113.189,0.8106866675921315,8,7.1866530057714275,156.338,153.338,9.337999999999994,20.337999999999994,27_11_2024/fish3p1_8
15,98.871,90.452,0.7865219666461899,15,46.993050333050874,151.5,109.5,-6.667000000000002,-24.667,26_11_2024/fish9_15
18,101.688,92.469,0.7703023149477358,18,80.79823079482313,92.0,117.5,-55.0,-15.5,27_11_2024/fish3p1_18
17,91.545,88.432,0.7700487372618521,17,20.19372675427454,110.0,205.5,-37.0,72.5,27_11_2024/fish3p1_17
12,126.0,103.5,0.7501933488012374,12,0.9486713351852228,150.375,179.167,3.375,46.167,27_11_2024/fish3p1_12
18,96.115,91.154,0.7460200832721038,18,24.853312861508666,168.0,103.0,19.833,-41.833,26_11_2024/fish4_plane2_18
22,93.833,90.194,0.7413431196741587,22,13.161335631477206,148.0,156.0,-0.1670000000000016,11.167000000000002,26_11_2024/fish4_plane2_22
31,93.108,90.162,0.7254204540464582,31,78.44466583406546,122.5,124.5,-49.5,-25.5,27_11_2024/fish3p2_31
16,102.203,95.275,0.7244307237115837,16,36.696134616009516,149.5,121.5,-14.667000000000002,-18.667,26_11_2024/fish4_plane1_16
18,88.65,88.05,0.7202680067001689,18,51.201576312242324,154.0,126.0,-18.0,-24.0,27_11_2024/fish3p2_18
7,110.292,99.417,0.7184248522165894,7,32.344360607288,128.167,166.375,-36.0,26.208,26_11_2024/fish4_plane1_7
18,113.571,101.476,0.7095005835670852,18,0.9176797497843524,147.5,195.5,-16.667,55.333,26_11_2024/fish4_plane1_18
17,94.839,92.097,0.6974674242659469,17,13.932301693675548,166.5,137.5,2.3329999999999984,-2.6670000000000016,26_11_2024/fish4_plane1_17
19,92.02,90.922,0.6954773869346739,19,49.56827980066117,118.5,133.5,-24.5,-13.5,27_11_2024/fish7p1_19
27,93.147,91.235,0.6935264452475512,27,53.537818211406254,118.5,141.0,-45.667,0.8329999999999984,26_11_2024/fish4_plane1_27
32,92.269,90.154,0.6912210493523927,32,5.886245645916527,190.5,153.0,18.5,3.0,27_11_2024/fish3p2_32
25,118.292,105.083,0.6756199003079658,25,1.873278862958718,143.5,184.0,-4.667000000000002,39.167,26_11_2024/fish4_plane2_25
11,110.4,101.4,0.6574602221555087,11,3.19707822841365,153.9,165.271,5.733000000000004,20.437999999999988,26_11_2024/fish4_plane2_11
25,88.429,88.214,0.6538761397918721,25,55.338755162024725,133.5,150.0,-38.5,0.0,27_11_2024/fish3p2_25
23,88.682,88.386,0.6513821720699755,23,6.893185861434636,152.0,210.5,-20.0,60.5,27_11_2024/fish3p2_23
