,X,Y,theta,radius,divergence,Y_c,X_c,red,farred,ratio_Neuron,Neuron,fish_Neuron
158,82.5,153.0,3.074579055544988,74.66759672039807,0.4254209444550119,5.0,-74.5,120.562,98.25,0.8330895297927927,158,fish4_plane1_158
156,81.5,129.0,3.388128947855694,77.85403008194245,0.11187105214430604,-19.0,-75.5,128.735,103.088,0.7942806321406584,156,fish4_plane1_156
134,29.0,90.0,3.567042290959835,140.52757736472938,0.06704229095983516,-58.0,-128.0,114.0,98.038,0.788480272771554,134,fish4_plane1_134
141,91.5,110.5,3.6615604603383214,75.47516147713763,0.1615604603383214,-37.5,-65.5,119.49,101.294,0.7647703739797783,141,fish4_plane1_141
139,77.0,96.0,3.7179678741809767,95.4148835350125,0.21796787418097674,-52.0,-80.0,106.188,96.875,0.7336680971193551,139,fish4_plane1_139
152,45.0,166.5,2.977892201085929,113.51761977772438,0.522107798914071,18.5,-112.0,108.731,98.192,0.7300450461608146,152,fish4_plane1_152
64,21.614,117.614,3.3623737780297467,138.75401973276306,0.13762622197025332,-30.385999999999996,-135.386,128.4,108.2,0.720028586742898,64,fish4_plane1_64
155,76.5,130.5,3.3556533371536146,82.38021607157874,0.14434666284638542,-17.5,-80.5,109.714,99.095,0.7193253371317511,155,fish4_plane1_155
117,112.5,95.5,4.009278806761923,68.82223477917583,0.5092788067619232,-52.5,-44.5,103.027,95.865,0.7176683830705843,117,fish4_plane1_117
141,86.0,155.5,3.198493190864628,79.12806076228584,0.30150680913537187,-4.5,-79.0,117.795,101.932,0.708487532609355,141,fish7p2_141
78,101.25,148.55,3.319305716134594,64.77009340737436,0.1806942838654062,-11.449999999999989,-63.75,135.25,110.9,0.7080519086286711,78,fish7p2_78
53,22.875,93.958,3.524616011835039,144.6030891405851,0.024616011835039142,-54.042,-134.125,115.875,103.417,0.6958624058925955,53,fish4_plane1_53
120,35.0,140.5,3.2029907954022896,122.2303153886138,0.2970092045977104,-7.5,-122.0,103.462,96.769,0.6952767166935206,120,fish4_plane1_120
133,27.0,134.0,3.248871509238196,130.75167302944922,0.2511284907618041,-14.0,-130.0,105.062,97.906,0.6875055731645036,133,fish4_plane1_133
52,43.583,93.139,3.5921239910705136,125.98867095893979,0.09212399107051361,-54.861000000000004,-113.417,149.611,122.639,0.6872821900604366,52,fish4_plane1_52
142,49.0,117.5,3.4168323466252977,112.22410614480296,0.08316765337470233,-30.5,-108.0,110.077,100.731,0.6865602634152134,142,fish4_plane1_142
136,87.5,75.5,3.948114435152605,100.43156874210419,0.44811443515260496,-72.5,-69.5,106.286,98.81,0.6817006155022604,136,fish4_plane1_136
61,109.833,119.976,3.769232558142127,68.15657316062773,0.2692325581421269,-40.024,-55.167,140.81,117.429,0.6743909685086156,61,fish7p2_61
143,54.5,115.5,3.4486383856085836,107.52906583803284,0.0513616143914164,-32.5,-102.5,104.548,98.484,0.6635682933126777,143,fish4_plane1_143
124,49.5,162.0,3.012088963120463,108.40779492268994,0.4879110368795372,14.0,-107.5,105.154,99.115,0.6568426566423764,124,fish4_plane1_124
115,72.5,84.5,3.7860398358945706,105.7000473036791,0.2860398358945706,-63.5,-84.5,100.286,96.143,0.6547951682929977,115,fish4_plane1_115
118,54.0,125.5,3.3566607919810156,105.42888598481917,0.14333920801898437,-22.5,-103.0,101.346,96.885,0.6523066619390931,118,fish4_plane1_118
119,51.0,140.0,3.216921544418133,106.30145812734649,0.28307845558186706,-8.0,-106.0,103.938,98.812,0.6447069550846286,119,fish4_plane1_119
157,83.0,148.0,3.141592653589793,74.0,0.3584073464102069,0.0,-74.0,108.9,102.2,0.6415792720542876,157,fish4_plane1_157
138,69.0,138.0,3.366869432803848,98.48857801796105,0.1331305671961518,-22.0,-96.0,106.0,98.719,0.6355235764637133,138,fish7p2_138
79,74.605,153.789,3.0714488024355684,82.59811466371372,0.4285511975644316,5.788999999999987,-82.395,123.447,112.684,0.6312381353768017,79,fish4_plane1_79
112,64.0,110.0,3.529492611317725,100.46392387319938,0.02949261131772518,-38.0,-93.0,103.812,99.25,0.6312372442830283,112,fish4_plane1_112
173,127.5,95.5,4.074668154035066,86.50144507463445,0.5746681540350664,-69.5,-51.5,121.095,111.429,0.630443032431959,173,fish3p2_173
116,102.0,97.0,3.889272864520377,75.0066663703967,0.3892728645203771,-51.0,-55.0,112.594,105.656,0.6248373749381385,116,fish4_plane1_116
140,77.5,129.5,3.4769942370971934,92.66336924588917,0.023005762902806648,-30.5,-87.5,113.216,104.297,0.6239575781848047,140,fish7p2_140
135,97.0,75.0,4.024425668279497,94.49338601193207,0.5244256682794974,-73.0,-60.0,105.656,101.031,0.6196658124907347,135,fish4_plane1_135
71,90.62,132.94,3.3646915669789568,68.06693764229443,0.13530843302104323,-15.060000000000002,-66.38,112.84,106.24,0.618407238914163,71,fish4_plane1_71
131,75.0,84.0,3.6891548895297905,96.04165762834376,0.18915488952979054,-50.0,-82.0,121.344,111.594,0.6157105129295026,131,fish9_131
144,55.0,120.5,3.4049389408899082,105.64208441714884,0.09506105911009177,-27.5,-102.0,104.094,100.156,0.6139589875089247,144,fish4_plane1_144
69,102.618,136.618,3.500205207762302,66.62005589910595,0.0002052077623018178,-23.382000000000005,-62.382000000000005,126.265,114.559,0.6128625472887769,69,fish7p2_69
75,75.286,143.0,3.2027054839438485,81.86682964424602,0.29729451605615154,-5.0,-81.714,119.464,111.5,0.6122480850166707,75,fish4_plane1_75
90,109.656,111.906,3.4861870167930267,68.36287861112929,0.013812983206973328,-23.093999999999994,-64.344,114.344,109.375,0.6114481740575518,90,fish5p1_90
86,85.672,165.534,3.071944498147974,79.52079438738022,0.4280555018520258,5.533999999999992,-79.328,140.862,125.828,0.6086616245728701,86,fish7p2_86
53,38.5,101.5,3.5747521203241894,139.37180489611234,0.07475212032418943,-58.5,-126.5,113.095,105.286,0.6073416560256871,53,fish7p2_53
86,123.618,121.912,3.8027833124838324,70.16937842107481,0.3027833124838324,-43.087999999999994,-55.382000000000005,119.706,112.706,0.6030958114348179,86,fish3p2_86
30,105.31,55.214,4.204119948948218,106.21251289749245,0.7041199489482182,-92.786,-51.69,114.238,108.381,0.6021859132085556,30,fish4_plane1_30
155,68.0,113.0,3.592792772721738,107.78682665335315,0.09279277272173792,-47.0,-97.0,106.875,101.031,0.5996029988352445,155,fish7p2_155
172,44.5,98.5,3.416319076143689,134.54553132675943,0.0836809238563112,-36.5,-129.5,97.667,97.429,0.5993440508887552,172,fish5p1_172
139,75.0,138.0,3.3813357624602496,92.64987857520376,0.11866423753975042,-22.0,-90.0,117.688,109.531,0.5971644542621463,139,fish7p2_139
86,78.26,168.54,2.8864206028405532,81.37492980027693,0.6135793971594468,20.539999999999992,-78.74,114.04,108.64,0.5965138205399441,86,fish4_plane1_86
140,82.0,158.5,3.002496712107722,75.73143336818603,0.49750328789227805,10.5,-75.0,99.125,97.062,0.5964456706970707,140,fish4_plane1_140
68,96.071,133.679,3.5063610786995385,73.78348109163731,0.006361078699538503,-26.320999999999998,-68.929,125.286,115.857,0.5929107999431106,68,fish7p2_68
212,91.0,185.5,2.5949949441966895,97.15580270884493,0.9050050558033105,50.5,-83.0,115.188,111.406,0.5926513671875,212,fish5p1_212
136,50.5,171.0,3.0458167150001407,115.02717070327341,0.45418328499985927,11.0,-114.5,104.059,99.206,0.5918657227852414,136,fish7p2_136
72,71.868,137.789,3.2609655334038847,85.74218299646914,0.23903446659611527,-10.211000000000013,-85.132,114.947,109.868,0.5896512871648113,72,fish4_plane1_72
121,68.5,119.5,3.453139480492481,92.9758033038704,0.046860519507518905,-28.5,-88.5,104.839,101.871,0.5886531556718398,121,fish4_plane1_121
