,red,farred,ratio_Neuron,Neuron,l_distance,X,Y,normx,normy,fish_Neuron
19,98.757,87.405,0.9914214634983273,19,16.088741874680732,192.5,75.5,45.5,-57.5,27_11_2024/fish3p1_19
20,101.8,88.438,0.9813146928350585,20,32.634629792770774,152.0,111.0,5.0,-22.0,27_11_2024/fish3p1_20
10,147.909,100.667,0.8908233976595378,10,14.90840035673585,153.985,192.712,-18.014999999999986,42.71199999999999,27_11_2024/fish3p2_10
19,91.176,88.206,0.8636229314420799,19,40.69280751684942,179.5,106.0,7.5,-44.0,27_11_2024/fish3p2_19
16,106.235,91.706,0.8598531902879729,16,3.49390190319973,145.0,179.5,-2.0,46.5,27_11_2024/fish3p1_16
22,103.476,91.81,0.8450648135242229,22,18.62809925849861,156.5,182.0,-15.5,32.0,27_11_2024/fish3p2_22
8,166.622,113.189,0.8106866675921315,8,7.1866530057714275,156.338,153.338,9.337999999999994,20.337999999999994,27_11_2024/fish3p1_8
18,101.688,92.469,0.7703023149477358,18,80.79823079482313,92.0,117.5,-55.0,-15.5,27_11_2024/fish3p1_18
17,91.545,88.432,0.7700487372618521,17,20.19372675427454,110.0,205.5,-37.0,72.5,27_11_2024/fish3p1_17
12,126.0,103.5,0.7501933488012374,12,0.9486713351852228,150.375,179.167,3.375,46.167,27_11_2024/fish3p1_12
31,93.108,90.162,0.7254204540464582,31,78.44466583406546,122.5,124.5,-49.5,-25.5,27_11_2024/fish3p2_31
18,88.65,88.05,0.7202680067001689,18,51.201576312242324,154.0,126.0,-18.0,-24.0,27_11_2024/fish3p2_18
32,92.269,90.154,0.6912210493523927,32,5.886245645916527,190.5,153.0,18.5,3.0,27_11_2024/fish3p2_32
25,88.429,88.214,0.6538761397918721,25,55.338755162024725,133.5,150.0,-38.5,0.0,27_11_2024/fish3p2_25
23,88.682,88.386,0.6513821720699755,23,6.893185861434636,152.0,210.5,-20.0,60.5,27_11_2024/fish3p2_23
4,131.935,116.968,0.6342736018261862,4,9.285606410796461,164.113,136.242,17.113,3.2419999999999902,27_11_2024/fish3p1_4
9,119.243,110.0,0.6145722850780706,9,1.6746192521191985,161.419,155.581,14.419000000000011,22.58099999999999,27_11_2024/fish3p1_9
8,118.419,110.645,0.6094657269805871,8,23.59216509360958,153.565,177.403,-18.435000000000002,27.40299999999999,27_11_2024/fish3p2_8
7,113.879,106.485,0.6091638296560654,7,1.6266469060945008,168.955,149.409,21.955000000000013,16.408999999999992,27_11_2024/fish3p1_7
7,109.414,104.69,0.5980800050114061,7,6.651210302601664,175.328,174.983,3.328000000000003,24.983000000000004,27_11_2024/fish3p2_7
3,111.375,106.292,0.5846503585291237,3,3.85729568966577,174.667,129.167,27.667,-3.8329999999999984,27_11_2024/fish3p1_3
14,121.711,115.842,0.5732543325044558,14,3.384336124958938,136.947,193.184,-10.052999999999997,60.184,27_11_2024/fish3p1_14
20,91.541,91.622,0.5503936062190873,20,1.2111871259100466,191.5,164.5,19.5,14.5,27_11_2024/fish3p2_20
12,112.219,110.688,0.5491394274806715,12,0.7947724743660258,164.844,201.906,-7.156000000000006,51.906000000000006,27_11_2024/fish3p2_12
6,112.542,111.396,0.544426744268697,6,1.7367512674217898,182.229,173.375,10.229000000000013,23.375,27_11_2024/fish3p2_6
21,88.094,88.562,0.5319361943536002,21,10.635502087555286,167.0,180.5,-5.0,30.5,27_11_2024/fish3p2_21
28,87.844,88.344,0.5263157894736842,28,73.6734521127381,159.0,77.0,-13.0,-73.0,27_11_2024/fish3p2_28
15,115.026,115.0,0.5216390406310809,15,9.022747435836099,125.658,201.079,-21.342,68.07900000000001,27_11_2024/fish3p1_15
1,108.161,109.194,0.5195867485109945,1,48.04865654488117,145.339,145.145,-26.661,-4.85499999999999,27_11_2024/fish3p2_1
