,X,Y,theta,radius,Y_c,X_c,red,farred,ratio_Neuron,Neuron,fish_Neuron
141,86.0,155.5,3.198493190864628,79.12806076228584,-4.5,-79.0,117.795,101.932,0.708487532609355,141,fish7p2_141
78,101.25,148.55,3.319305716134594,64.77009340737436,-11.449999999999989,-63.75,135.25,110.9,0.7080519086286711,78,fish7p2_78
61,109.833,119.976,3.769232558142127,68.15657316062773,-40.024,-55.167,140.81,117.429,0.6743909685086156,61,fish7p2_61
138,69.0,138.0,3.366869432803848,98.48857801796105,-22.0,-96.0,106.0,98.719,0.6355235764637133,138,fish7p2_138
140,77.5,129.5,3.4769942370971934,92.66336924588917,-30.5,-87.5,113.216,104.297,0.6239575781848047,140,fish7p2_140
69,102.618,136.618,3.500205207762302,66.62005589910595,-23.382000000000005,-62.382000000000005,126.265,114.559,0.6128625472887769,69,fish7p2_69
86,85.672,165.534,3.071944498147974,79.52079438738022,5.533999999999992,-79.328,140.862,125.828,0.6086616245728701,86,fish7p2_86
53,38.5,101.5,3.5747521203241894,139.37180489611234,-58.5,-126.5,113.095,105.286,0.6073416560256871,53,fish7p2_53
155,68.0,113.0,3.592792772721738,107.78682665335315,-47.0,-97.0,106.875,101.031,0.5996029988352445,155,fish7p2_155
139,75.0,138.0,3.3813357624602496,92.64987857520376,-22.0,-90.0,117.688,109.531,0.5971644542621463,139,fish7p2_139
68,96.071,133.679,3.5063610786995385,73.78348109163731,-26.320999999999998,-68.929,125.286,115.857,0.5929107999431106,68,fish7p2_68
136,50.5,171.0,3.0458167150001407,115.02717070327341,11.0,-114.5,104.059,99.206,0.5918657227852414,136,fish7p2_136
127,115.5,108.5,3.946790209553634,71.43178564196754,-51.5,-49.5,126.73,118.297,0.5811259792117537,127,fish7p2_127
129,54.0,147.0,3.258178659051109,111.75866856758807,-13.0,-111.0,104.135,99.981,0.5761706073249887,129,fish7p2_129
49,117.259,97.569,4.059545916550675,78.59282945663682,-62.431,-47.741,125.828,118.586,0.5719359913475247,49,fish7p2_49
89,89.5,170.0,3.0099088000341556,76.15937237136346,10.0,-75.5,118.639,112.806,0.5684779461441947,89,fish7p2_89
65,81.643,125.69,3.5320615156501045,90.1419189334241,-34.31,-83.357,118.476,113.619,0.5583526764522291,65,fish7p2_65
144,83.5,175.5,2.953653076667742,82.96083413274,15.5,-81.5,104.613,101.419,0.5554148876024517,144,fish7p2_144
80,95.071,151.729,3.259322802084688,70.4164361637253,-8.270999999999987,-69.929,125.371,120.143,0.555143734081758,80,fish7p2_80
151,51.0,190.5,2.8801714847328443,118.00953351318698,30.5,-114.0,112.962,109.038,0.5541377223988828,151,fish7p2_151
81,77.107,156.679,3.1793592665949157,87.95571891582719,-3.320999999999998,-87.893,122.036,118.036,0.5469797998966112,81,fish7p2_81
128,59.5,161.0,3.132114264459931,105.50473923004597,1.0,-105.5,110.118,107.029,0.5462086751685485,128,fish7p2_128
82,95.435,159.919,3.1427570317022635,69.56504715731889,-0.08099999999998886,-69.565,114.065,110.839,0.5446185103994012,82,fish7p2_82
